id,philosophy,agency,logic,focus,outlook,summary
1,실존주의,0.9,0.4,0.9,0.7,선택과 책임을 통해 스스로 삶의 의미를 창조함
2,인본주의,0.8,0.6,0.5,0.9,인간의 잠재력과 끊임없는 성장에 가치를 둠
3,부조리주의,0.7,0.3,0.8,0.6,세상의 무의미함에 굴하지 않고 즐겁게 반항함
4,스토아 철학,0.6,0.9,0.7,0.8,통제 가능한 것에 집중하며 내면의 평온을 유지함
5,도가(무위자연),0.1,0.2,0.6,0.7,인위적 노력을 멈추고 자연의 흐름에 몸을 맡김
6,결정론,0.0,0.5,0.5,0.5,모든 일은 이미 정해진 인과관계에 따라 일어남
7,실용주의,0.8,0.8,0.6,0.7,실제적인 유용성과 효과를 진리의 기준으로 삼음
8,에피쿠로스,0.4,0.6,0.9,0.8,고통이 없는 상태와 소소한 정신적 즐거움을 추구함
9,현실주의,0.5,0.9,0.5,0.4,환상보다는 눈앞의 객관적인 사실을 직시함
10,허무주의,0.2,0.5,0.9,0.1,삶의 절대적 가치를 부정하며 무의미함을 관조함
11,회의주의,0.3,0.8,0.7,0.3,절대적 진리는 없다고 믿으며 판단을 유보함
12,냉소주의,0.4,0.7,0.9,0.2,사회의 가식적인 관습을 거부하고 독립성을 유지함